,Content ID,Type,Datetime,Content Type,Category,Sentiment,Score,Month,,,,
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,07-11-2020 09:43,photo,Studying,negative,0,11,,,,
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,17-06-2021 12:22,photo,Studying,negative,10,6,Category,,Sorted,
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,18-04-2021 05:13,photo,Studying,negative,15,4,Studying,49442,Animals,68624
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,06-01-2021 19:13,photo,Studying,negative,0,1,healthy eating,63138,science,65405
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,23-08-2020 12:25,photo,Studying,positive,30,8,technology,63035,healthy eating,63138
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,07-12-2020 06:27,photo,Studying,neutral,35,12,food,61598,technology,63035
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,11-04-2021 17:35,photo,Studying,positive,70,4,cooking,59174,food,61598
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,27-01-2021 08:32,photo,Studying,negative,5,1,dogs,48398,culture,60663
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,01-04-2021 22:54,photo,Studying,neutral,35,4,soccer,53216,travel,59358
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,07-11-2020 08:36,photo,Studying,neutral,20,11,public speaking,45751,cooking,59174
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,02-11-2020 06:28,photo,Studying,negative,15,11,science,65405,soccer,53216
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,01-11-2020 01:16,photo,Studying,positive,30,11,tennis,46185,education,52759
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,07-10-2020 18:39,photo,Studying,negative,5,10,travel,59358,fitness,50835
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,03-09-2020 18:51,photo,Studying,negative,15,9,fitness,50835,Studying,49442
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,24-02-2021 05:09,photo,Studying,positive,75,2,education,52759,dogs,48398
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,23-09-2020 06:24,photo,Studying,neutral,35,9,veganism,45901,tennis,46185
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,24-02-2021 11:37,photo,Studying,neutral,20,2,Animals,68624,veganism,45901
